benchmark,cluster,ddrfreq,cpufreq,cpu_cycles,inst_retired,l1i_cache_refill,l1d_cache_refill,l2d_cache_refill,l3d_cache_refill,ll_cache_miss_rd,time_run,time_enabled
random_copy_23_5,0,1968000000,1608000,7954320000.0,1938210000.0,583,60038400.0,90329600.0,85872700.0,85872700.0,4986260000.0,4986260000.0
random_copy_23_5,0,1968000000,1800000,8899470000.0,2017760000.0,621,62464300.0,94219900.0,89573700.0,89573700.0,4976080000.0,4976080000.0
random_copy_23_5,0,2400000000,408000,1947610000.0,1053450000.0,514,29744700.0,51589600.0,48340200.0,48340200.0,4979950000.0,4979950000.0
random_copy_23_5,0,2400000000,600000,2929250000.0,1390460000.0,546,39187400.0,68451400.0,63898700.0,63898700.0,4977310000.0,4977310000.0
random_copy_23_5,0,2400000000,816000,3915660000.0,1636120000.0,651,46647300.0,80576500.0,76607700.0,76607600.0,4975890000.0,4975890000.0
random_copy_23_5,0,2400000000,1008000,4875520000.0,1770800000.0,599,52545700.0,84581500.0,80429700.0,80429700.0,4976490000.0,4976490000.0
random_copy_23_5,0,2400000000,1200000,6001910000.0,1909740000.0,606,58150900.0,89844000.0,85416000.0,85416000.0,4984540000.0,4984540000.0
random_copy_23_5,0,2400000000,1416000,6904890000.0,2011710000.0,581,61680800.0,94433900.0,89767600.0,89767600.0,4973340000.0,4973340000.0
random_copy_23_5,0,2400000000,1608000,7952820000.0,2115470000.0,611,65289800.0,98942400.0,94047300.0,94047300.0,4986030000.0,4986030000.0
random_copy_23_5,0,2400000000,1800000,8917000000.0,2205070000.0,713,68303500.0,102894000.0,97817500.0,97817500.0,4985960000.0,4985960000.0
random_copy_23_5,1,534000000,408000,1961290000.0,2644390000.0,50,88635900.0,68371400.0,170223000.0,170223000.0,4983980000.0,4983980000.0
random_copy_23_5,1,534000000,600000,2945290000.0,3086200000.0,51,103112000.0,85760000.0,198418000.0,198418000.0,4985940000.0,4985940000.0
random_copy_23_5,1,534000000,816000,3842380000.0,4039030000.0,51,136538000.0,122548000.0,260070000.0,260070000.0,4984290000.0,4984290000.0
random_copy_23_5,1,534000000,1008000,4783300000.0,4367580000.0,51,148211000.0,134012000.0,281269000.0,281269000.0,4983900000.0,4983900000.0
