benchmark,cluster,ddrfreq,cpufreq,inst_retired,cpu_cycles,l1d_cache_refill,l2d_cache_rd,l2d_cache_refill,l3d_cache_rd,l3d_cache_refill,time_run,time_enabled
random_copy_24_6,0,1968000000,1608000,1543770000.0,7960790000.0,59383400.0,69492700.0,69040200.0,69040200.0,67281300.0,4977110000.0,4977110000.0
random_copy_24_6,0,1968000000,1800000,1589720000.0,8940170000.0,61569700.0,71379600.0,70671600.0,70671600.0,68896900.0,4985170000.0,4985170000.0
random_copy_24_6,0,2400000000,408000,819431000.0,1947490000.0,31121500.0,38527800.0,38191900.0,38191900.0,37298600.0,4983040000.0,4983040000.0
random_copy_24_6,0,2400000000,600000,1054900000.0,2935190000.0,40724900.0,47816400.0,47345900.0,47345900.0,46208700.0,4986630000.0,4986630000.0
random_copy_24_6,0,2400000000,816000,1255200000.0,3938250000.0,48571500.0,56824000.0,56226400.0,56226400.0,54857100.0,4987160000.0,4987160000.0
random_copy_24_6,0,2400000000,1008000,1406400000.0,4893770000.0,54355200.0,64050700.0,63350300.0,63350300.0,61781000.0,4976070000.0,4976070000.0
random_copy_24_6,0,2400000000,1200000,1554760000.0,6010690000.0,59350200.0,71529400.0,71064900.0,71064900.0,69247600.0,4973020000.0,4973020000.0
random_copy_24_6,0,2400000000,1416000,1657850000.0,6942190000.0,63506000.0,77774900.0,77004900.0,77004900.0,75072100.0,4984470000.0,4984470000.0
random_copy_24_6,0,2400000000,1608000,1724220000.0,7970780000.0,66412100.0,79744200.0,78898400.0,78898400.0,76896600.0,4983780000.0,4983780000.0
random_copy_24_6,0,2400000000,1800000,1753850000.0,8906690000.0,67780900.0,78861200.0,78226400.0,78226400.0,76199300.0,4967650000.0,4967650000.0
random_copy_24_6,1,534000000,408000,1960100000.0,1960050000.0,75247000.0,114069000.0,85759800.0,131232000.0,125213000.0,4975530000.0,4975530000.0
random_copy_24_6,1,534000000,600000,2263790000.0,2949900000.0,87185100.0,131741000.0,99805300.0,153880000.0,146225000.0,4985570000.0,4985570000.0
random_copy_24_6,1,534000000,816000,2432080000.0,3855000000.0,93834100.0,141550000.0,107433000.0,165234000.0,156577000.0,4988290000.0,4988290000.0
random_copy_24_6,1,534000000,1008000,2662880000.0,4785410000.0,102908000.0,155002000.0,117467000.0,177831000.0,168449000.0,4977130000.0,4977130000.0
random_copy_24_6,1,534000000,1200000,2690790000.0,5727280000.0,104248000.0,156603000.0,119212000.0,182602000.0,173065000.0,4986920000.0,4986920000.0
random_copy_24_6,1,534000000,1416000,2867230000.0,6934840000.0,111316000.0,166894000.0,127186000.0,191330000.0,180586000.0,4988620000.0,4988620000.0
random_copy_24_6,1,534000000,1608000,2928890000.0,8008700000.0,113774000.0,170430000.0,130261000.0,195411000.0,184822000.0,4979200000.0,4979200000.0
random_copy_24_6,1,534000000,1800000,2967020000.0,9069390000.0,115334000.0,172637000.0,132076000.0,197895000.0,186558000.0,4987050000.0,4987050000.0
random_copy_24_6,1,534000000,2016000,2994020000.0,9954960000.0,116403000.0,174161000.0,133399000.0,199723000.0,188039000.0,4982660000.0,4982660000.0
random_copy_24_6,1,534000000,2208000,3003400000.0,11057800000.0,116839000.0,174583000.0,133942000.0,200156000.0,188942000.0,4985270000.0,4985270000.0
random_copy_24_6,1,534000000,2352000,3020490000.0,11529800000.0,117521000.0,175515000.0,134786000.0,201190000.0,190078000.0,4985580000.0,4985580000.0
random_copy_24_6,1,1320000000,408000,2835270000.0,1959150000.0,108323000.0,164997000.0,122403000.0,190032000.0,179944000.0,4972160000.0,4972160000.0
random_copy_24_6,1,1320000000,600000,3510960000.0,2948890000.0,134577000.0,204334000.0,152987000.0,235172000.0,222727000.0,4984600000.0,4984600000.0
random_copy_24_6,1,1320000000,816000,3732640000.0,3854130000.0,143446000.0,217274000.0,163397000.0,249942000.0,237030000.0,4988810000.0,4988810000.0
random_copy_24_6,1,1320000000,1008000,4279390000.0,4799660000.0,164537000.0,249107000.0,187696000.0,286497000.0,269864000.0,4990540000.0,4990540000.0
random_copy_24_6,1,1320000000,1200000,4537760000.0,5725810000.0,174693000.0,264168000.0,199388000.0,303714000.0,286239000.0,4989210000.0,4989210000.0
random_copy_24_6,1,1320000000,1416000,4815460000.0,6917970000.0,185531000.0,280347000.0,211916000.0,322231000.0,303314000.0,4978990000.0,4978990000.0
random_copy_24_6,1,1320000000,1608000,4978290000.0,7996750000.0,191986000.0,289810000.0,219604000.0,333059000.0,313066000.0,4975980000.0,4975980000.0
random_copy_24_6,1,1320000000,1800000,5146320000.0,9027520000.0,198684000.0,299585000.0,227471000.0,344045000.0,333569000.0,4975980000.0,4975980000.0
random_copy_24_6,1,1320000000,2016000,5323430000.0,9930640000.0,205535000.0,309923000.0,235396000.0,355875000.0,335874000.0,4978000000.0,4978000000.0
random_copy_24_6,1,1320000000,2208000,5414910000.0,11028500000.0,209377000.0,315241000.0,239982000.0,361587000.0,350521000.0,4984010000.0,4984010000.0
random_copy_24_6,1,1320000000,2352000,5480260000.0,11512400000.0,211810000.0,319051000.0,242566000.0,366121000.0,344720000.0,4985570000.0,4985570000.0
random_copy_24_6,1,1968000000,408000,2536820000.0,1962740000.0,97063200.0,147589000.0,110243000.0,169894000.0,164846000.0,4990490000.0,4990490000.0
